Hour postinfection,log(V(Day))
349,14.79408928
350,14.7691676
351,14.74436366
352,14.71953193
353,14.69455291
354,14.66980929
355,14.64494583
356,14.61985067
357,14.59484874
358,14.56992639
359,14.54504946
360,14.52002341
361,14.49515904
362,14.47020118
363,14.44523167
364,14.42038048
365,14.39541514
366,14.37058922
367,14.34560632
368,14.32059896
369,14.29569037
370,14.27063974
371,14.24574503
372,14.22073631
373,14.19580281
374,14.17073235
375,14.14572397
376,14.1206683
377,14.09573213
378,14.07054418
379,14.04568375
380,14.02065551
381,13.99543592
382,13.97026221
383,13.94515102
384,13.92008948
385,13.89518736
386,13.87032919
387,13.84533535
388,13.81988499
389,13.79515683
390,13.7698969
391,13.74478978
392,13.71986383
393,13.69501611
394,13.67022349
395,13.64535669
396,13.62010864
397,13.59501102
398,13.56993095
399,13.544974
400,13.51978423
401,13.49490853
402,13.46963426
403,13.44422368
404,13.41921975
405,13.3940807
406,13.36908127
407,13.34407552
408,13.31907755
409,13.29384137
410,13.26871747
411,13.24329347
412,13.21821888
413,13.19351314
414,13.16854445
415,13.1435905
416,13.11869668
417,13.09347203
418,13.06820917
419,13.04285688
420,13.01782033
421,12.99256218
422,12.96809038
423,12.94307644
424,12.91824522
425,12.89315399
426,12.86825278
427,12.84287699
428,12.8171933
429,12.79201876
430,12.76695908
431,12.74150993
432,12.7162611
433,12.69078941
434,12.66508171
435,12.64011876
436,12.61488883
437,12.58999064
438,12.56498063
439,12.54014919
440,12.51485801
441,12.48986721
442,12.46492695
443,12.43970108
444,12.4149388
445,12.38968092
446,12.36453691
447,12.33953658
448,12.31441575
449,12.28978405
450,12.26456327
451,12.23929468
452,12.21375312
453,12.18872306
454,12.16379131
455,12.13855374
456,12.11393548
457,12.08920737
458,12.06416346
459,12.03835203
460,12.01259111
461,11.98809081
462,11.96285399
463,11.93820634
464,11.91388048
465,11.88868716
466,11.8630541
467,11.83746255
468,11.8114882
469,11.78740839
470,11.76219677
471,11.73691674
472,11.71143208
473,11.68597088
474,11.66100929
475,11.63609848
476,11.61073262
477,11.58504155
478,11.56052454
479,11.53613415
480,11.50997121
481,11.48511234
482,11.459356
483,11.43347103
484,11.40825371
485,11.38322683
486,11.35765094
487,11.33212287
488,11.30833388
489,11.28402802
490,11.25927129
491,11.23448073
492,11.20896508
493,11.18424097
494,11.15941707
495,11.13518753
496,11.11090955
497,11.08490811
498,11.05973978
499,11.03429287
500,11.00907562
501,10.98424149
502,10.95832227
503,10.93366057
504,10.90863148
505,10.88386064
506,10.85978734
507,10.83447003
508,10.80833324
509,10.78282401
510,10.75817965
511,10.73448202
512,10.70770663
513,10.68267503
514,10.65805927
515,10.63236402
516,10.60678331
517,10.58185124
518,10.55727027
519,10.53228313
520,10.50692909
521,10.4816169
522,10.4562804
523,10.4306985
524,10.40595867
525,10.38207951
526,10.35802882
527,10.33247418
528,10.30631619
529,10.28209555
530,10.2569226
531,10.23235991
532,10.20762142
533,10.18195265
534,10.1570443
535,10.13130058
536,10.10495834
537,10.07933025
538,10.0532433
539,10.02937147
540,10.00437352
541,9.978456333
542,9.953134968
543,9.928960836
544,9.904937002
545,9.879809937
546,9.853404578
547,9.826715034
548,9.802230274
549,9.775086406
550,9.74864555
551,9.723164597
552,9.697140276
553,9.67243846
554,9.648144233
555,9.624104944
556,9.600354053
557,9.575608984
558,9.550236028
559,9.522008222
560,9.498972743
561,9.473935417
562,9.446361451
563,9.421655037
564,9.394660763
565,9.368284704
566,9.34548384
567,9.321256328
568,9.296427238
569,9.271624541
570,9.249081162
571,9.224244263
572,9.200089006
573,9.175439355
574,9.154511544
575,9.129131401
576,9.104536425
577,9.079435242
578,9.05169745
579,9.025456736
580,8.999990877
581,8.974366108
582,8.952347838
583,8.927182716
584,8.899595724
585,8.874309438
586,8.848367131
587,8.822176235
588,8.799210751
589,8.778481493
590,8.753057095
591,8.725508952
592,8.699183027
593,8.671116988
594,8.647345632
595,8.62299541
596,8.599512076
597,8.573386362
598,8.54849998
599,8.528530679
600,8.502487592
601,8.47866232
602,8.453189994
603,8.424860774
604,8.400212084
605,8.371938491
606,8.342604062
607,8.320207033
608,8.292300611
609,8.263850708
610,8.239332069
611,8.21473854
612,8.187302052
613,8.162519102
614,8.137983377
615,8.112830475
616,8.088564876
617,8.065582569
618,8.040772215
619,8.021587816
620,7.996993771
621,7.970398363
622,7.943431318
623,7.920086833
624,7.896556422
625,7.868258093
626,7.844244638
627,7.825249287
628,7.798527157
629,7.768114609
630,7.736748047
631,7.708415158
632,7.679256049
633,7.65539538
634,7.632405972
635,7.607883039
636,7.586808606
637,7.563205784
638,7.536369272
639,7.513169004
640,7.489417673
641,7.465088464
642,7.450085384
643,7.420584893
644,7.398792395
645,7.372752648
646,7.346016662
647,7.317219048
648,7.286883256
649,7.262635614
650,7.239939765
651,7.209347653
652,7.187664723
653,7.169357715
654,7.144415073
655,7.118834346
656,7.090085169
657,7.066475503
658,7.044913835
659,7.021092893
660,6.993942149
661,6.957506886
662,6.931481571
663,6.91175726
664,6.886541857
665,6.864858216
666,6.839487145
667,6.814553874
668,6.786728237
669,6.755780563
670,6.727443701
671,6.694574435
672,6.674574018
673,6.650291985
674,6.629376463
675,6.6066637
676,6.584805204
677,6.562458218
678,6.548233429
679,6.529433437
680,6.507292638
681,6.487699239
682,6.453640747
683,6.429735607
684,6.400274056
685,6.373336854
686,6.354387432
687,6.327954641
688,6.306293535
689,6.287877147
690,6.259600584
691,6.236389159
692,6.206596088
693,6.173806937
694,6.148489663
695,6.122514739
696,6.098096754
697,6.079956078
698,6.05446282
699,6.033110202
700,5.993986365
701,5.958450532
702,5.945446786
703,5.924282535
704,5.89718134
705,5.880560919
706,5.852231215
707,5.811170933
708,5.783855951
709,5.755773859
710,5.733373639
711,5.713765808
712,5.700477018
713,5.669915405
714,5.634825317
715,5.609508425
716,5.572192054
717,5.545216506
718,5.537373636
719,5.529468769
720,5.505372186
721,5.476505392
722,5.442461
723,5.411690694
724,5.389117391
725,5.379943435
726,5.356633443
727,5.332767101
728,5.278165678
729,5.267909704
730,5.241799924
731,5.209540796
732,5.170540812
733,5.159112769
734,5.135857259
735,5.112048027
736,5.062658322
737,5.043489631
738,5.023946308
739,4.983675112
740,4.955897478
741,4.90534885
742,4.882877677
743,4.844265823
744,4.812265653
745,4.804103009
746,4.770769367
747,4.753676394
748,4.72747631
749,4.72747631
750,4.718588153
751,4.700571271
752,4.682223815
753,4.654055584
754,4.625070848
755,4.605270181
756,4.574814066
757,4.553982149
758,4.488748723
759,4.442768897
760,4.406841191
761,4.369574427
762,4.343935284
763,4.343935284
764,4.304200219
765,4.276804998
766,4.262820712
767,4.234251422
768,4.204841862
769,4.189806246
770,4.189806246
771,4.174541104
772,4.143293444
773,4.127295662
774,4.111037785
775,4.094511215
776,4.060615409
777,4.007514987
778,3.989169215
779,3.989169215
780,3.951436008
781,3.932021692
782,3.912222985
783,3.892024359
784,3.828858764
785,3.806884687
786,3.806884687
787,3.761432647
788,3.737907685
789,3.713815939
790,3.689129423
791,3.689129423
792,3.637849283
793,3.611188146
794,3.611188146
795,3.611188146
796,3.611188146
797,3.611188146
798,3.583796678
799,3.583796678
800,3.555633735
801,3.555633735
802,3.555633735
803,3.526654599
804,3.526654599
805,3.496810546
806,3.401530659
807,3.332561589
808,3.332561589
809,3.296207168
810,3.296207168
811,3.219275745
812,3.135928904
813,3.091496895
814,2.996232148
815,2.996232148
816,2.944965156
817,2.944965156
818,2.890927159
819,2.833801406
820,2.833801406
821,2.833801406
822,2.833801406
823,2.833801406
824,2.833801406
825,2.833801406
826,2.833801406
827,2.833801406
828,2.773213527
829,2.773213527
830,2.773213527
831,2.773213527
832,2.773213527
833,2.708716646
834,2.708716646
835,2.708716646
836,2.485739636
837,2.485739636
838,2.485739636
839,2.485739636
840,2.485739636
841,2.485739636
842,2.485739636
843,2.485739636
844,2.485739636
845,2.398803951
846,2.398803951
847,2.398803951
848,2.398803951
849,2.398803951
850,2.398803951
851,2.398803951
