0-4,5-17,18-24,25-64,65+
0.38911,0.15035,0.051559,0.33103,0.026997
0.15035,0.55014,0.24749,0.15115,0.042212
0.051559,0.24749,0.51324,0.32767,0.018958
0.33103,0.15115,0.32767,0.17335,0.11636
0.026997,0.042212,0.018958,0.11636,0.08999
