"","HHSIZE","URBAN","[0-4]","(4,17]","(17,49]","(49,64]","(64,100]"
"30001456",1,1,0,0,0,0,1
"30001460",4,2,0,2,2,0,0
"30001473",2,4,0,0,0,0,2
"30001475",1,1,0,0,0,0,1
"30001482",4,1,2,1,1,0,0
"30001485",1,1,0,0,0,0,1
"30001487",1,2,0,0,0,0,1
"30001496",1,4,0,0,0,0,1
"30001506",2,2,0,0,2,0,0
"30001511",2,1,0,0,0,2,0
"30001519",3,1,0,1,2,0,0
"30001526",1,2,0,0,0,1,0
"30001535",4,4,0,2,2,0,0
"30001545",4,2,0,1,2,1,0
"30001549",1,1,0,0,1,0,0
"30001556",2,1,0,0,0,1,1
"30001563",1,1,0,0,0,1,0
"30001572",2,4,0,0,0,0,2
"30001575",1,1,0,0,1,0,0
"30001583",1,1,0,0,0,0,1
"30001593",2,1,0,0,0,0,2
"30001601",4,1,2,0,2,0,0
"30001606",2,1,0,0,0,1,1
"30001608",2,1,0,0,2,0,0
"30001611",2,1,0,0,2,0,0
"30001616",1,1,0,0,0,1,0
"30001625",1,1,0,0,0,1,0
"30001627",2,4,0,0,0,2,0
"30001629",2,1,0,0,0,2,0
"30001639",2,1,0,0,0,0,2
"30001645",2,1,0,0,0,1,1
"30001646",1,1,0,0,1,0,0
"30001654",5,1,3,0,2,0,0
"30001655",4,4,0,1,3,0,0
"30001659",1,4,0,0,0,0,1
"30001685",1,1,0,0,0,1,0
"30001707",1,1,0,0,1,0,0
"30001713",4,1,0,2,2,0,0
"30001748",1,2,0,0,0,0,1
"30001755",2,1,0,0,0,0,2
"30001757",1,1,0,0,0,0,1
"30001765",3,1,0,1,1,1,0
"30001768",2,1,0,0,0,0,2
"30001770",1,4,0,0,0,0,1
"30001774",1,1,0,0,1,0,0
"30001785",3,1,1,0,1,1,0
"30001794",2,2,0,1,1,0,0
"30001800",2,2,0,0,0,1,1
"30001811",2,1,0,0,1,1,0
"30001828",6,4,0,0,4,0,2
"30001832",2,1,0,0,2,0,0
"30001852",2,4,0,0,0,2,0
"30001860",2,4,0,0,0,1,1
"30001865",4,1,0,1,1,2,0
"30001886",1,1,0,0,0,1,0
"30001888",3,1,0,1,0,1,1
"30001892",1,2,0,0,0,1,0
"30001906",2,1,0,0,2,0,0
"30001915",2,4,0,0,1,1,0
"30001917",3,1,1,0,2,0,0
"30001938",1,1,0,0,0,0,1
"30001940",1,1,0,0,0,0,1
"30001941",1,1,0,0,0,1,0
"30001947",2,1,0,0,1,1,0
"30001949",2,1,0,0,0,0,2
"30001951",1,1,0,0,0,0,1
"30001954",2,1,0,0,0,2,0
"30001956",2,1,0,0,0,2,0
"30001977",3,2,0,1,0,2,0
"30001989",2,1,0,0,0,0,2
"30001995",1,1,0,0,0,0,1
"30001998",3,1,0,0,2,1,0
"30002001",4,1,0,2,2,0,0
"30002022",1,1,0,0,0,1,0
"30002032",2,2,0,0,0,2,0
"30002049",2,2,0,0,0,1,1
"30002051",2,1,0,0,0,2,0
"30002066",2,1,0,0,0,2,0
"30002070",1,1,0,0,1,0,0
"30002093",1,1,0,0,1,0,0
"30002095",1,1,0,0,0,0,1
"30002097",2,4,0,0,0,0,2
"30002098",2,4,0,0,0,2,0
"30002106",5,1,0,2,3,0,0
"30002153",6,1,0,2,4,0,0
"30002157",4,4,0,0,1,2,1
"30002163",5,2,1,2,2,0,0
"30002164",3,1,0,1,0,2,0
"30002202",3,1,0,0,1,1,1
"30002204",1,1,0,0,0,0,1
"30002206",2,1,0,0,0,0,2
"30002235",2,4,0,0,0,0,2
"30002236",4,1,0,3,1,0,0
"30002242",3,1,0,1,0,2,0
"30002253",1,1,0,0,0,1,0
"30002254",2,2,0,1,1,0,0
"30002268",1,1,0,0,0,0,1
"30002274",1,4,0,0,0,0,1
"30002286",1,1,0,0,0,0,1
"30002312",2,1,0,0,0,1,1
"30002315",2,1,0,0,0,0,2
"30002316",2,1,0,0,2,0,0
"30002324",1,1,0,0,0,0,1
"30002329",1,1,0,0,0,0,1
"30002335",2,1,0,0,1,1,0
"30002342",1,4,0,0,0,1,0
"30002345",2,1,0,0,0,0,2
"30002347",2,4,0,0,0,2,0
"30002362",2,1,0,0,0,2,0
"30002371",1,1,0,0,1,0,0
"30002377",3,1,0,1,1,1,0
"30002387",1,1,0,0,0,0,1
"30002391",1,1,0,0,0,0,1
"30002395",2,1,0,0,1,1,0
"30002398",2,4,0,0,0,0,2
"30002403",1,2,0,0,0,0,1
"30002406",2,1,0,1,1,0,0
"30002408",2,1,0,0,0,1,1
"30002414",2,4,0,0,0,2,0
"30002418",1,2,0,0,1,0,0
"30002436",1,1,0,0,0,1,0
"30002448",2,2,0,0,0,0,2
"30002454",3,1,0,0,2,0,1
"30002462",2,1,0,0,0,2,0
"30002464",2,2,0,0,0,0,2
"30002476",1,1,0,0,0,0,1
"30002480",3,1,0,0,1,2,0
"30002484",1,1,0,0,0,0,1
"30002497",2,4,0,0,0,1,1
"30002503",1,2,0,0,0,0,1
"30002507",5,1,1,0,2,0,2
"30002529",2,1,0,0,0,0,2
"30002533",2,1,0,0,2,0,0
"30002537",1,4,0,0,0,0,1
